psdE,svdpE,eeE,ApEn,SpEn,FuzzyEn,PeEn,enveEn,DE,SOH
0.176516085807353,0.00109520082942247,0,0.0158696845057307,0.0188494801278671,-0.000116007106491439,-0,3.52109896621263,0.538369749729626,1
0.185739506044093,0.000920230618784445,0,0.0103960804309127,0.0122548131026732,-0.000144983318635547,-0,3.44217620313116,0.540448683463721,0.993636652879415
0.187238802223735,0.00121259807890176,0,0.0122958679206451,0.0147299523083881,-0.000138897927177411,-0,3.55266928555899,0.541918980485049,0.988227807826917
0.188727242401332,0.000865660335809841,0,0.00790659820119055,0.0107293813589946,-0.000155605598517528,-0,3.38884656966719,0.542479985479554,0.977410117721922
0.191697820363446,0.000357791322857483,0,-0.00381804131572938,-0.00286814295794091,-0.000174957884023055,-0,3.1097753869525,0.543051534313795,0.975819280941776
0.191693834666608,0.000358219376976816,0,-0.00560229451349104,-0.00501144964295586,-0.000175269581895358,-0,3.1064454909618,0.54376918562646,0.971364937957366
0.19169091738722,0.000423443174579745,0,-0.00754283329961858,-0.00743978848075999,-0.000175270018258617,-0,3.09770884663203,0.543324712194802,0.970410435889278
0.190174438710357,0.000336592176073858,0,-0.00558444866525365,-0.00502449428348895,-0.000172307784587782,-0,3.10406969233588,0.542014160081879,0.968819599109131
0.190172387393197,0.000337764437393916,0,-0.00558444866525365,-0.00502449428348895,-0.000172307884155194,-0,3.10357509070805,0.542014160081879,0.967546929685014
0.191688612410264,0.00038279678815903,0,-0.00563702464423921,-0.00507516217204662,-0.000175378807410282,-0,3.10422488054932,0.542607060882138,0.966274260260897
0.190166085761217,0.000408900846347916,0,-0.00748938123512222,-0.00739257775821933,-0.000172304926301544,-0,3.09373753122351,0.54181703152211,0.965637925548839
0.191692370574695,0.000345514425098182,0,-0.00561965957886512,-0.00504337931253973,-0.000175288429028405,-0,3.09941273439323,0.542607060882138,0.964365256124722
0.190163286997265,0.000390686047743777,0,-0.00558444866525365,-0.00502449428348895,-0.000172210262658894,-0,3.10504507137033,0.541656918406068,0.963092586700605
0.190170161791368,0.000389041604680796,0,-0.00748938123512133,-0.00739257775821933,-0.000172303958415883,-0,3.09681679053375,0.542014160081879,0.962138084632517
0.191685331503016,0.000482838829481264,0,-0.00577594516723146,-0.00532425919662538,-0.000174699283618012,-0,3.10532015612288,0.54376918562646,0.9608654152084
